"spol" "starost" "krovna_kat" "st_znakov_rec"
"2307" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2308" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2309" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2310" "ženski" "10 do 13 let" "Odnosi" "<250 znakov"
"2313" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2314" "ženski" "18 do 21 let" "Spolno zdravje" "<250 znakov"
"2316" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2318" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2319" "ženski" "10 do 13 let" "Odnosi" "<250 znakov"
"2320" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"2321" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2322" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"2324" "moški" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2326" "ženski" "14 do 17 let" "Spolnost" ">750 znakov"
"2327" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2330" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2331" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2333" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"2336" "ženski" "10 do 13 let" "Spolno zdravje" "> 250 in <750 znakov"
"2337" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2342" "ženski" "10 do 13 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2344" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2345" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"2347" "ženski" "10 do 13 let" "Odnosi" "<250 znakov"
"2348" "ženski" "10 do 13 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2349" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"2351" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2353" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2355" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2357" "moški" "18 do 21 let" "Droge, zasvojenost" "> 250 in <750 znakov"
"2358" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2362" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2364" "ženski" "14 do 17 let" "Spolnost" "<250 znakov"
"2370" "moški" "14 do 17 let" "Spolno zdravje" ">750 znakov"
"2371" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2373" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"2374" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2375" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2377" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2378" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2380" "moški" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"2382" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2383" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"2384" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2385" "moški" "18 do 21 let" "Spolno zdravje" "<250 znakov"
"2386" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2387" "ženski" "18 do 21 let" "Telesno zdravje" ">750 znakov"
"2388" "moški" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"2389" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2392" "moški" "10 do 13 let" "Spolnost" "<250 znakov"
"2393" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2394" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"2395" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2396" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2397" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2398" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2400" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"2401" "ženski" "18 do 21 let" "Odnosi" ">750 znakov"
"2402" "ženski" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"2409" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2411" "ženski" "10 do 13 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2412" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2414" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2415" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2417" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2419" "ženski" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"2422" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2423" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2424" "ženski" "18 do 21 let" "Odnosi" ">750 znakov"
"2425" "moški" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"2426" "ženski" "14 do 17 let" "Odnosi" "<250 znakov"
"2430" "moški" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2433" "moški" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2436" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2437" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2439" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2440" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2441" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2442" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2444" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"2445" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2447" "moški" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"2450" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"2454" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2455" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"2457" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2458" "ženski" "18 do 21 let" "Problemi, povezani s šolo" ">750 znakov"
"2460" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"2462" "ženski" "18 do 21 let" "Odnosi" ">750 znakov"
"2465" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2466" "moški" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2467" "ženski" "10 do 13 let" "Spolnost" "<250 znakov"
"2469" "moški" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2470" "moški" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"2472" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2473" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2476" "ženski" "14 do 17 let" "Telesno zdravje" ">750 znakov"
"2479" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2482" "ženski" "18 do 21 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2484" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2485" "moški" "18 do 21 let" "Spolnost" ">750 znakov"
"2486" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2488" "ženski" "18 do 21 let" "Odnosi" ">750 znakov"
"2489" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2491" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"2493" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"2494" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2495" "moški" "14 do 17 let" "Spolnost" ">750 znakov"
"2496" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2500" "moški" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2501" "moški" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"2504" "moški" "14 do 17 let" "Droge, zasvojenost" "<250 znakov"
"2505" "moški" "14 do 17 let" "Odnosi" ">750 znakov"
"2506" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2508" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"2509" "moški" "18 do 21 let" "Spolno zdravje" ">750 znakov"
"2510" "moški" "10 do 13 let" "Spolno zdravje" "<250 znakov"
"2511" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2512" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"2513" "ženski" "18 do 21 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2515" "moški" "18 do 21 let" "Odnosi" "<250 znakov"
"2517" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2518" "moški" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2521" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"2522" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "<250 znakov"
"2526" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2527" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"2530" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2532" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"2533" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2535" "moški" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"2537" "ženski" "18 do 21 let" "Odnosi" "> 250 in <750 znakov"
"2539" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2544" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2550" "ženski" "14 do 17 let" "Odnosi" "<250 znakov"
"2551" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2552" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2553" "moški" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2554" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2556" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2558" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"2567" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2569" "moški" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2570" "ženski" "14 do 17 let" "Spolnost" ">750 znakov"
"2574" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2576" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2577" "moški" "18 do 21 let" "Spolno zdravje" "<250 znakov"
"2578" "moški" "14 do 17 let" "Droge, zasvojenost" "> 250 in <750 znakov"
"2582" "moški" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2583" "moški" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"2585" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2587" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2590" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2593" "ženski" "10 do 13 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2594" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2597" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2600" "moški" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"2602" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2607" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2608" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2611" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2612" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2613" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2614" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2615" "ženski" "10 do 13 let" "Spolnost" "<250 znakov"
"2617" "moški" "18 do 21 let" "Odnosi" "<250 znakov"
"2619" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2620" "moški" "14 do 17 let" "Spolno zdravje" ">750 znakov"
"2621" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"2625" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2627" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"2629" "ženski" "14 do 17 let" "Odnosi" "<250 znakov"
"2630" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2632" "ženski" "18 do 21 let" "Droge, zasvojenost" "> 250 in <750 znakov"
"2635" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"2638" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2641" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2644" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2645" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2646" "ženski" "14 do 17 let" "Spolnost" "<250 znakov"
